name,N,M,score
0000.txt,33,58,419467
0001.txt,35,73,523354
0002.txt,49,57,465109
0003.txt,45,159,516535
0004.txt,53,227,569005
0005.txt,61,306,519476
0006.txt,53,107,540960
0007.txt,35,87,587777
0008.txt,37,60,651601
0009.txt,35,82,600476
0010.txt,41,64,452235
0011.txt,35,64,562195
0012.txt,35,41,546341
0013.txt,39,116,636993
0014.txt,47,78,553853
0015.txt,53,211,506371
0016.txt,31,63,529035
0017.txt,53,66,415907
0018.txt,33,43,482377
0019.txt,31,68,570241
0020.txt,37,63,536563
0021.txt,55,168,508310
0022.txt,49,198,555581
0023.txt,49,184,555039
0024.txt,39,82,601860
0025.txt,59,77,506203
0026.txt,31,37,548934
0027.txt,55,63,539242
0028.txt,37,39,446870
0029.txt,53,178,518435
0030.txt,43,82,539466
0031.txt,45,155,577499
0032.txt,57,215,542016
0033.txt,37,107,516835
0034.txt,47,156,588354
0035.txt,59,256,548468
0036.txt,55,200,584525
0037.txt,31,33,630341
0038.txt,39,121,617625
0039.txt,33,72,470293
0040.txt,51,66,486604
0041.txt,59,105,555840
0042.txt,37,83,517757
0043.txt,37,58,555187
0044.txt,31,49,562936
0045.txt,47,106,636524
0046.txt,41,85,604564
0047.txt,53,145,493449
0048.txt,39,122,625776
0049.txt,47,147,588371
0050.txt,37,110,551886
0051.txt,37,64,576487
0052.txt,43,55,521624
0053.txt,55,134,502690
0054.txt,47,84,537456
0055.txt,51,138,566852
0056.txt,31,39,630992
0057.txt,51,190,586113
0058.txt,55,156,559812
0059.txt,47,77,536832
0060.txt,61,243,495292
0061.txt,45,155,550555
0062.txt,61,63,422258
0063.txt,39,103,614170
0064.txt,55,164,558669
0065.txt,43,102,672822
0066.txt,43,149,567885
0067.txt,57,244,514527
0068.txt,31,53,552443
0069.txt,55,143,551907
0070.txt,59,123,503323
0071.txt,31,34,471319
0072.txt,45,66,444425
0073.txt,59,91,491479
0074.txt,39,69,624366
0075.txt,47,83,541810
0076.txt,45,155,539056
0077.txt,43,128,558278
0078.txt,43,70,627739
0079.txt,57,60,437677
0080.txt,57,205,503093
0081.txt,35,65,621088
0082.txt,39,45,514286
0083.txt,51,183,595322
0084.txt,31,55,662338
0085.txt,53,86,525214
0086.txt,61,307,518571
0087.txt,41,121,542366
0088.txt,49,171,591037
0089.txt,51,203,573326
0090.txt,47,115,545917
0091.txt,35,54,655646
0092.txt,37,110,558436
0093.txt,41,83,626978
0094.txt,51,130,547913
0095.txt,59,101,503076
0096.txt,57,90,456464
0097.txt,41,105,587833
0098.txt,31,74,841111
0099.txt,47,156,568984
