N,D,Q,score,est
31,2,128,255450,31400
56,6,1120,6722701,126198
94,5,2009,13704362,50230
80,6,2288,9114945,93930
43,9,435,6482361,107838
42,10,202,8517036,494210
65,2,346,13358400,75274
79,5,294,6988476,107870
39,7,197,6507445,275723
55,12,885,4499952,197996
65,10,1690,8012441,244809
59,13,340,5282711,411284
77,13,1193,6655264,157850
52,13,954,4412932,1570355
50,11,568,4533475,234099
44,11,270,6926405,1214474
45,4,221,37654148,122655
43,6,97,7251247,206178
68,9,1028,11808111,249015
82,10,1182,6600753,143068
96,20,2071,5426471,811968
89,17,2707,4825276,282944
40,2,378,16466450,15812
59,6,1069,2418789,126000
91,12,1079,7472563,204739
99,23,999,5925246,1889877
96,2,1344,9260350,973
43,8,395,3421133,212850
80,7,226,16795626,144213
72,17,1423,4324766,1587061
74,3,410,23616825,55437
59,2,254,22123850,953
71,8,301,9427534,126732
90,18,253,10338241,287601
32,8,418,2173987,362625
72,6,354,15468239,139856
81,6,516,6218534,145632
86,21,382,7819277,2124345
89,8,670,13695491,121312
61,4,214,23199225,81874
42,5,410,8515382,198795
36,9,117,8265147,692162
87,9,2486,7228027,166903
88,17,199,7309647,287891
98,13,1536,9539349,206630
57,11,355,9420623,158488
45,3,860,3866998,92310
59,12,328,6318645,221720
54,7,1183,5458875,203642
93,12,476,9490323,244353
66,4,1200,8837307,118153
36,6,428,6655378,289930
46,6,145,29436757,200965
61,5,162,22389304,109480
54,9,435,6696110,226731
39,6,331,8651744,183886
92,12,1757,8984929,233226
96,3,200,14649595,42657
49,8,1467,8345776,171712
34,8,107,13819335,343827
57,6,396,12479659,151191
69,10,342,8487860,168130
36,5,185,8496793,182797
96,12,933,12601731,148672
86,3,1312,10046299,47803
52,5,235,10432458,159307
80,9,482,8920740,156515
70,11,2101,5587789,187906
37,2,194,12919250,112393
45,8,1001,4067756,228023
49,6,235,15034646,214062
54,3,1483,7560197,76283
62,13,318,9735794,135539
100,5,612,20058110,86492
38,7,214,14573267,284613
42,2,279,6573500,106139
32,7,117,13082740,311297
99,22,2574,4608876,1497252
49,8,168,10174238,171712
51,4,1344,5107829,94118
83,4,485,15400737,92220
86,18,1620,7282539,669749
47,7,253,7140962,222134
71,5,292,19346996,45320
51,5,1101,11187070,80809
91,22,1274,6478619,2103861
39,5,309,11059143,233407
58,2,125,14562500,85699
30,5,227,11818311,249024
89,13,2489,4413750,107030
69,11,403,7799261,153977
74,12,2358,7348676,184823
53,9,960,10308752,192921
74,12,161,9917676,184823
66,2,2009,29085200,75274
52,9,159,10936816,178608
59,13,448,7678124,411284
83,12,455,10079648,108250
74,14,204,10206513,304939
64,2,956,908450,1649
